"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"187",187,"AL","2020-03-07",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"188",188,"AL","2020-03-08",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"189",189,"AL","2020-03-09",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"190",190,"AL","2020-03-10",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"191",191,"AL","2020-03-11",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"192",192,"AL","2020-03-12",NA,NA,0,0,"Alabama",95,4858979,"Southern Appalachia",1
"193",193,"AL","2020-03-13",NA,NA,5,0,"Alabama",95,4858979,"Southern Appalachia",1
"194",194,"AL","2020-03-14",NA,NA,6,0,"Alabama",95,4858979,"Southern Appalachia",1
"195",195,"AL","2020-03-15",NA,NA,11,0,"Alabama",95,4858979,"Southern Appalachia",1
"196",196,"AL","2020-03-16",NA,NA,7,0,"Alabama",95,4858979,"Southern Appalachia",1
"197",197,"AL","2020-03-17",NA,NA,10,0,"Alabama",95,4858979,"Southern Appalachia",1
"198",198,"AL","2020-03-18",NA,NA,12,0,"Alabama",95,4858979,"Southern Appalachia",1
"199",199,"AL","2020-03-19",NA,NA,27,0,"Alabama",95,4858979,"Southern Appalachia",1
"200",200,"AL","2020-03-20",NA,NA,28,0,"Alabama",95,4858979,"Southern Appalachia",1
"201",201,"AL","2020-03-21",NA,NA,25,0,"Alabama",95,4858979,"Southern Appalachia",1
"202",202,"AL","2020-03-22",NA,NA,36,0,"Alabama",95,4858979,"Southern Appalachia",1
"203",203,"AL","2020-03-23",NA,NA,29,0,"Alabama",95,4858979,"Southern Appalachia",1
"204",204,"AL","2020-03-24",NA,NA,46,0,"Alabama",95,4858979,"Southern Appalachia",1
"205",205,"AL","2020-03-25",NA,NA,144,1,"Alabama",95,4858979,"Southern Appalachia",1
"206",206,"AL","2020-03-26",NA,NA,145,0,"Alabama",95,4858979,"Southern Appalachia",1
"207",207,"AL","2020-03-27",NA,NA,108,1,"Alabama",95,4858979,"Southern Appalachia",1
"208",208,"AL","2020-03-28",NA,NA,78,1,"Alabama",95,4858979,"Southern Appalachia",1
"209",209,"AL","2020-03-29",NA,NA,108,1,"Alabama",95,4858979,"Southern Appalachia",1
"210",210,"AL","2020-03-30",NA,NA,116,2,"Alabama",95,4858979,"Southern Appalachia",1
"211",211,"AL","2020-03-31",NA,NA,56,7,"Alabama",95,4858979,"Southern Appalachia",1
"212",212,"AL","2020-04-01",NA,NA,109,3,"Alabama",95,4858979,"Southern Appalachia",1
"213",213,"AL","2020-04-02",NA,NA,164,1,"Alabama",95,4858979,"Southern Appalachia",1
"214",214,"AL","2020-04-03",NA,NA,264,4,"Alabama",95,4858979,"Southern Appalachia",1
"215",215,"AL","2020-04-04",NA,NA,98,5,"Alabama",95,4858979,"Southern Appalachia",1
"216",216,"AL","2020-04-05",NA,NA,208,5,"Alabama",95,4858979,"Southern Appalachia",1
"217",217,"AL","2020-04-06",NA,NA,163,1,"Alabama",95,4858979,"Southern Appalachia",1
"218",218,"AL","2020-04-07",NA,NA,194,7,"Alabama",95,4858979,"Southern Appalachia",1
"219",219,"AL","2020-04-08",NA,NA,300,9,"Alabama",95,4858979,"Southern Appalachia",1
"220",220,"AL","2020-04-09",NA,NA,341,0,"Alabama",95,4858979,"Southern Appalachia",1
"221",221,"AL","2020-04-10",NA,NA,169,10,"Alabama",95,4858979,"Southern Appalachia",1
"222",222,"AL","2020-04-11",NA,NA,255,2,"Alabama",95,4858979,"Southern Appalachia",1
"223",223,"AL","2020-04-12",NA,NA,319,1,"Alabama",95,4858979,"Southern Appalachia",1
"224",224,"AL","2020-04-13",NA,NA,220,0,"Alabama",95,4858979,"Southern Appalachia",1
"225",225,"AL","2020-04-14",NA,NA,150,12,"Alabama",95,4858979,"Southern Appalachia",1
"226",226,"AL","2020-04-15",NA,NA,286,2,"Alabama",95,4858979,"Southern Appalachia",1
"227",227,"AL","2020-04-16",NA,NA,163,7,"Alabama",95,4858979,"Southern Appalachia",1
"228",228,"AL","2020-04-17",NA,NA,115,14,"Alabama",95,4858979,"Southern Appalachia",1
"229",229,"AL","2020-04-18",NA,NA,204,14,"Alabama",95,4858979,"Southern Appalachia",1
"230",230,"AL","2020-04-19",NA,NA,178,2,"Alabama",95,4858979,"Southern Appalachia",1
"231",231,"AL","2020-04-20",NA,NA,177,0,"Alabama",95,4858979,"Southern Appalachia",1
"232",232,"AL","2020-04-21",NA,NA,243,29,"Alabama",95,4858979,"Southern Appalachia",1
"233",233,"AL","2020-04-22",NA,NA,281,33,"Alabama",95,4858979,"Southern Appalachia",1
"234",234,"AL","2020-04-23",NA,NA,227,20,"Alabama",95,4858979,"Southern Appalachia",1
"235",235,"AL","2020-04-24",NA,NA,201,14,"Alabama",95,4858979,"Southern Appalachia",1
"236",236,"AL","2020-04-25",NA,NA,187,4,"Alabama",95,4858979,"Southern Appalachia",1
"237",237,"AL","2020-04-26",NA,NA,204,6,"Alabama",95,4858979,"Southern Appalachia",1
"238",238,"AL","2020-04-27",NA,NA,120,9,"Alabama",95,4858979,"Southern Appalachia",1
"239",239,"AL","2020-04-28",NA,NA,207,13,"Alabama",95,4858979,"Southern Appalachia",1
"240",240,"AL","2020-04-29",NA,NA,172,21,"Alabama",95,4858979,"Southern Appalachia",1
"241",241,"AL","2020-04-30",NA,NA,147,8,"Alabama",95,4858979,"Southern Appalachia",1
"242",242,"AL","2020-05-01",NA,NA,231,18,"Alabama",95,4858979,"Southern Appalachia",1
